"","FID","FID_","OurLabID","SampleID","LABID","FieldNo","BandNo","ID","Delta2H","Repeat1","Repeat2","Species","Sex","AgeCode","Latitude","Longitude","BowenGSD","YearGrown","Year","Month","Day","City","County","State","Station_so","Migration","Foraging_g","Feeding_Cl","ForagingSu","Aquatic_vs","Wing_mm","Mass_g","Study","Source_qua","grwseasonE","AvgNAO","d2H_krig","d2H_precip","mean.krieg","nprob.krieg","nprob.precip","nprob.diff.krig_precp"
"1","0","0.000000000000000","G-104495","15,438.000000000000000","15,438.000000000000000","00N5321","211,054,085.000000000000000","1.000000000000000",-78.3,NA,NA,"AMRE","Female","AHY",41.913889,-73.680556,-56.25,"1,999.000000000000000","2,000.000000000000000",7,31,"STANFORDVILLE","DUTCHESS","NEW YORK","BUTTERCUP FARM SANCTUARY","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-17.142857,0.271429,-69.425056,-51.733001709,NA,0.121710038585977,0.0289955876466453,0.0927144509393316
"2","1","1.000000000000000","G-104496","15,439.000000000000000","15,439.000000000000000","00N7019","210,014,360.000000000000000","2.000000000000000",-67.4,NA,NA,"AMRE","Female","AHY",38.405556,-78.497222,-49.06,"1,999.000000000000000","2,000.000000000000000",6,9,"LYDIA","ROCKINGHAM","VIRGINIA","DEAN MOUNTAIN","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-17.142857,0.271429,-61.330013,-43.7285995483,NA,0.393342199216929,0.0486858515899917,0.344656347626937
"3","2","2.000000000000000","G-104497","15,440.000000000000000","15,440.000000000000000","00N6960","210,066,624.000000000000000","3.000000000000000",-66.5,NA,NA,"AMRE","Female","AHY",38.558333,-78.377778,-47.52,"1,999.000000000000000","2,000.000000000000000",6,10,"IDA","MADISON","VIRGINIA","NEW CRESCENT ROCK","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-17.142857,0.271429,-59.733524,-43.7285995483,NA,0.432643876776319,0.0545450945556746,0.378098782220645
"4","3","3.000000000000000","G-104498","15,441.000000000000000","15,441.000000000000000","00N6950","210,066,694.000000000000000","4.000000000000000",-76.9,NA,NA,"AMRE","Male","AHY",38.558333,-78.377778,-47.52,"1,999.000000000000000","2,000.000000000000000",7,22,"IDA","MADISON","VIRGINIA","NEW CRESCENT ROCK","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-17.142857,0.271429,-59.733524,-43.7285995483,NA,0.0356798651548824,0.0128463594295228,0.0228335057253596
"5","4","4.000000000000000","G-104500","15,443.000000000000000","15,443.000000000000000","02N9736","218,084,803.000000000000000","6.000000000000000",-50.9,NA,NA,"AMRE","Male","AHY",41.780833,-73.459444,-54.86,"2,001.000000000000000","2,002.000000000000000",6,8,"KENT","LITCHFIELD","CONNETICUT","BEAVER MARSH","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-2,-0.098571,-66.43985,-44.0036010742,NA,0.0331195126288084,0.282221097793473,-0.249101585164664
"6","5","5.000000000000000","G-104504","15,447.000000000000000","15,447.000000000000000","05N4471","218,028,517.000000000000000","7.000000000000000",-107.1,NA,NA,"AMRE","Male","AHY",44.982778,-70.416389,-62.55,"2,004.000000000000000","2,005.000000000000000",6,10,"DALLAS","FRANKLIN","MAINE","REDINGTON POND","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-0.142857,0.142857,-79.048759,-70.6675033569,NA,9.31226684778351e-06,0.00437037627681442,-0.00436106400996664
"7","6","6.000000000000000","G-104505","15,448.000000000000000","15,448.000000000000000","05N4472","218,028,547.000000000000000","8.000000000000000",-96.8,NA,NA,"AMRE","Male","AHY",44.982778,-70.416389,-62.55,"2,004.000000000000000","2,005.000000000000000",5,30,"DALLAS","FRANKLIN","MAINE","REDINGTON POND","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-0.142857,0.142857,-79.048759,-70.6675033569,NA,0.00760390682738868,0.0220349480743504,-0.0144310412469617
"8","7","7.000000000000000","G-104506","15,449.000000000000000","15,449.000000000000000","05N4248","223,096,841.000000000000000","9.000000000000000",-63.3,NA,NA,"AMRE","Male","AHY",37.7425,-92.042778,-40.78,"2,004.000000000000000","2,005.000000000000000",5,31,"DEVILS ELBOW","PULASKI","MISSOURI","BIG PINEY","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",-0.142857,0.142857,-58.044373,-30.5715007782,NA,0.543826528700659,0.0176139831948097,0.526212545505849
"9","8","8.000000000000000","G-104509","15,452.000000000000000","15,452.000000000000000","06N8191","224,066,932.000000000000000","10.000000000000000",-73,NA,NA,"AMRE","Male","SY",48.305,-88.935833,-69,"2,005.000000000000000","2,006.000000000000000",6,30,"THUNDER BAY","THUNDER BAY","ONTARIO","THUNDER CAPE BIRD OBSERVATORY","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",4,-0.177143,-80.016411,-78.6229019165,NA,0.299601430283707,0.505659670782118,-0.206058240498411
"10","9","9.000000000000000","G-104510","15,453.000000000000000","15,453.000000000000000","08N18698","230,000,487.000000000000000","11.000000000000000",-98.3,NA,NA,"AMRE","Male","AHY",47.382222,-91.196389,-68.99,"2,007.000000000000000","2,008.000000000000000",7,9,"FINLAND","LAKE","MINNESOTA","MAPS","Neotropical migrant","Insectivore","None","Canopy","Upland",64,8,"UCLA","known source",7,0.097143,-87.611526,-70.0344009399,NA,0.305925643766828,0.0163281024564724,0.289597541310355
